2025-06-10 11:28:22.1397 INFO 1081489826-04;Wicomico County Public Schools;Wicomico County Board of Education;0.0;unsupported 
2025-06-10 11:28:33.5014 INFO 1010505698-01;Coates Field Service Inc.;Coates Field Service;0.5; 
2025-06-10 11:28:34.1471 INFO 5101505078-01;Align Technology Inc;Align Technology;0.0;unsupported 
2025-06-10 11:28:34.1471 INFO 5101505078-01;Align Technology Inc;Alien Technology;0.5; 
2025-06-10 11:28:35.3155 INFO 1081504017-03;Bonner Group, Inc.;Boner Group;0.5; 
2025-06-10 11:28:36.9648 INFO 1017503012-04;Cincinnati Children's Hospital Medical Center;Cincinnati Children's Hospital;0.9;high 
2025-06-10 11:28:37.7183 INFO 1017502210-05;Mona Electric Group;Mona Electric Group;0.5; 
2025-06-10 11:28:39.5856 INFO 1010502524-02;Mercy Hospital;Mercy;0.9;high 
2025-06-10 11:28:39.5856 INFO 1010502524-02;Mercy Hospital;University of Pittsburgh Medical Center;0.9;high 
2025-06-10 11:28:39.5856 INFO 1010502524-02;Mercy Hospital;Mercy Hospital & Medical Center;0.5; 
2025-06-10 11:28:39.5856 INFO 1010502524-02;Mercy Hospital;Mercy Hospital;0.5; 
2025-06-10 11:28:39.5856 INFO 1010502524-02;Mercy Hospital;Mercy Hospital;0.5; 
2025-06-10 11:28:39.5856 INFO 1010502524-02;Mercy Hospital;Mercy Hospital of Devils Lake;0.5; 
2025-06-10 11:28:39.5856 INFO 1010502524-02;Mercy Hospital;Mercy Hospital Of Franciscan Sisters, Inc. (Oelwein, IA;0.5; 
2025-06-10 11:28:39.5856 INFO 1010502524-02;Mercy Hospital;Mercy Hospital;0.5; 
2025-06-10 11:28:39.5856 INFO 1010502524-02;Mercy Hospital;Mercy Hospital;0.5; 
2025-06-10 11:28:39.5856 INFO 1010502524-02;Mercy Hospital;Mercy Hospital Of Defiance;0.5; 
2025-06-10 11:28:39.5967 INFO 1010502524-02;Mercy Hospital;Mercy Hospital of Valley City;0.5; 
2025-06-10 11:28:39.5967 INFO 1010502524-02;Mercy Hospital;Mercy Hospital;0.5; 
2025-06-10 11:28:41.9817 INFO 1014505215-01;PepsiCo;PepsiCo;0.9;high 
2025-06-10 11:28:43.8938 INFO 1024505218-02;John Staurulakis LLC;John Staurulakis;0.0;unsupported 
2025-06-10 11:28:44.4635 INFO 1024502227-01;Northrop Grumman;Northrop Grumman;0.0;unsupported 
2025-06-10 11:28:44.4635 INFO 1024502227-01;Northrop Grumman;Northrop Grumman Federal Credit Union;0.5; 
2025-06-10 11:28:45.5582 INFO 1031504956-02;Merck Animal Health;Merck Animal Health;0.0;unsupported 
2025-06-10 11:28:46.3904 INFO 1031504956-01;Merck Animal Health;Merck Animal Health;0.0;unsupported 
2025-06-10 11:28:49.1387 INFO 5101505366-02;Crowder Construction;Crowder Construction;0.5; 
2025-06-10 11:28:49.1387 INFO 5101505366-02;Crowder Construction;Crowder Construction;0.5; 
2025-06-10 11:28:49.8226 INFO 1031500735-02;Paul M. Jones;Paul M Jones Lumber;0.5; 
2025-06-10 11:28:51.0008 INFO 1030503375-03;Comcast;Comcast;0.3;unsupported 
2025-06-10 11:28:51.0008 INFO 1030503375-03;Comcast;Effectv;0.5; 
2025-06-10 11:28:51.0048 INFO 1030503375-03;Comcast;Coma Cast;0.5; 
2025-06-10 11:28:52.2834 INFO 1030467285-03;Queen Annes County Public Schools;Queen Anne’s County Public Schools;0.5; 
2025-06-10 11:28:52.2904 INFO 1030467285-03;Queen Annes County Public Schools;Anne Arundel County Public Schools;0.9;high 
2025-06-10 11:28:52.8520 INFO 1024502239-04;Stand Together;Stand Together Foundation;0.5; 
2025-06-10 11:28:52.8520 INFO 1024502239-04;Stand Together;Stand Together And Recover Centers;0.5; 
2025-06-10 11:28:53.6240 INFO 1024502239-03;Janney Montgomery Scott;Janney Montgomery Scott;0.0;unsupported 
2025-06-10 11:28:53.6240 INFO 1024502239-03;Janney Montgomery Scott;Janney Montgomery Scott;0.5; 
2025-06-10 11:28:53.6240 INFO 1024502239-03;Janney Montgomery Scott;Janney Montgomery Scott;0.5; 
2025-06-10 11:28:53.6280 INFO 1024502239-03;Janney Montgomery Scott;Janney Montgomery Scott;0.5; 
2025-06-10 11:28:55.9510 INFO 1014492915-06;Uniformed Services University;Uniformed Services University of the Health Sciences (USUHS);0.5; 
2025-06-10 11:28:57.0395 INFO 1009504744-02;Northrop Grumman Corp;Northrop Grumman;0.0;unsupported 
2025-06-10 11:28:57.0395 INFO 1009504744-02;Northrop Grumman Corp;Northrop Grumman Federal Credit Union;0.5; 
2025-06-10 11:28:57.6391 INFO 1009503466-05;Broadmead, Inc;Broadmead;0.5; 
2025-06-10 11:28:57.6391 INFO 1009503466-05;Broadmead, Inc;Broadmeadow United Methodist;0.5; 
2025-06-10 11:28:57.6391 INFO 1009503466-05;Broadmead, Inc;Broadmead Nursery;0.5; 
2025-06-10 11:28:57.6441 INFO 1009503466-05;Broadmead, Inc;Broadmead Apartments;0.5; 
2025-06-10 11:28:57.6441 INFO 1009503466-05;Broadmead, Inc;Broadmeadow Investment;0.5; 
2025-06-10 11:28:58.3148 INFO 1047493105-02;TD Bank;TD Bank;0.3;unsupported 
2025-06-10 11:28:58.8956 INFO 1014503528-01;General Dynamics IT;General Dynamics Information Technology;0.9;high 
2025-06-10 11:28:59.8352 INFO 1010479953-01;Iron Mountain;Iron Mountain;0.0;unsupported 
2025-06-10 11:28:59.8352 INFO 1010479953-01;Iron Mountain;Iron Mountain Films;0.5; 
2025-06-10 11:29:00.5264 INFO 1022504770-01;Social Security Administration;Social Security Administration;0.3;low 
2025-06-10 11:29:03.5717 INFO 1014448415-01;College of Southern Maryland;College of Southern Maryland;0.5; 
2025-06-10 11:29:04.1436 INFO 5101497189-05;Cornerstone Building Brands;Cornerstone Building Brands;0.9;high 
2025-06-10 11:29:06.1231 INFO 1010492947-02;Johns Hopkins University;Johns Hopkins University;0.0;unsupported 
2025-06-10 11:29:06.1231 INFO 1010492947-02;Johns Hopkins University;Johns Hopkins Medicine;0.0;unsupported 
2025-06-10 11:29:06.8188 INFO 1010504463-03;Bank of America Corporation;Bank of America;0.3;low 
2025-06-10 11:29:07.9596 INFO 1010505430-02;Pooltek;Pooltek;0.5; 
2025-06-10 11:29:07.9596 INFO 1010505430-02;Pooltek;Pooltek Pool Services;0.5; 
2025-06-10 11:29:07.9596 INFO 1010505430-02;Pooltek;Paolotek;0.5; 
2025-06-10 11:29:08.4284 INFO 1024499989-05;Jet Blue;JetBlue Airways;0.9;high 
2025-06-10 11:29:11.0689 INFO 1024499989-04;A/C Power Incorporated;Ag-Power;0.5; 
2025-06-10 11:29:11.0689 INFO 1024499989-04;A/C Power Incorporated;A C Power;0.5; 
2025-06-10 11:29:11.0689 INFO 1024499989-04;A/C Power Incorporated;ACO Power;0.5; 
2025-06-10 11:29:11.0689 INFO 1024499989-04;A/C Power Incorporated;AC Power & Comfort;0.5; 
2025-06-10 11:29:11.7389 INFO 7010500617-03;Trader Interactive;Trader Interactive;0.5; 
2025-06-10 11:29:12.3395 INFO 4022501027-02;Henrico County Virginia;Henrico County Public Schools;0.9;high 
2025-06-10 11:29:12.9760 INFO 1031498757-10;Wicomico County Public Schools;Wicomico County Board of Education;0.0;unsupported 
2025-06-10 11:29:13.5897 INFO 1030502372-06;MH Media Strategies;Mh Media Strategies;0.5; 
2025-06-10 11:29:14.3649 INFO 1024493579-06;Breakthru Beverage;Ben Arnold-Sunbelt Beverage Company of South Carolina;0.9;high 
2025-06-10 11:29:15.0607 INFO 1017500342-06;Classic Collision;Classic Collision;0.9;high 
2025-06-10 11:29:15.0607 INFO 1017500342-06;Classic Collision;Classic Collision Center;0.5; 
2025-06-10 11:29:15.0607 INFO 1017500342-06;Classic Collision;Classic Collision & Restoration;0.5; 
2025-06-10 11:29:15.0607 INFO 1017500342-06;Classic Collision;Classic Collision;0.5; 
2025-06-10 11:29:15.4107 INFO 1012504565-02;GBMC;Gbmc Health Care;0.9;high 
2025-06-10 11:29:15.4107 INFO 1012504565-02;GBMC;GBMC & Associates;0.5; 
2025-06-10 11:29:15.4107 INFO 1012504565-02;GBMC;GBM Manufacturing;0.5; 
2025-06-10 11:29:15.4107 INFO 1012504565-02;GBMC;Gracie Barra McAllen;0.5; 
2025-06-10 11:29:15.4107 INFO 1012504565-02;GBMC;Gunning Business Machines;0.5; 
2025-06-10 11:29:15.4107 INFO 1012504565-02;GBMC;Senior Wealth Management;0.5; 
2025-06-10 11:29:15.7693 INFO 1010502577-02;Ochin;OCHIN;0.5; 
2025-06-10 11:29:15.7693 INFO 1010502577-02;Ochin;Oshyn;0.5; 
2025-06-10 11:29:16.3962 INFO 1017504094-01;Defense Finance & ACTG Serv;Defense Finance & Accounting Services;0.9;high 
2025-06-10 11:29:17.0538 INFO 5101492112-05;Lowes Companies Inc;Lewis Companies;0.5; 
2025-06-10 11:29:18.1635 INFO 1083504611-02;Adrian L. Merton;Adrian L Merton;0.5; 
2025-06-10 11:29:19.2871 INFO 1083504611-01;American Mechanical Services;American Mechanical Services;0.5; 
2025-06-10 11:29:20.7834 INFO 1024502239-02;Stand Together;Stand Together Foundation;0.5; 
2025-06-10 11:29:20.7834 INFO 1024502239-02;Stand Together;Stand Together And Recover Centers;0.5; 
2025-06-10 11:29:21.4042 INFO 1024502239-01;Janney Montgomery Scott;Janney Montgomery Scott;0.0;unsupported 
2025-06-10 11:29:21.4042 INFO 1024502239-01;Janney Montgomery Scott;Janney Montgomery Scott;0.5; 
2025-06-10 11:29:21.4042 INFO 1024502239-01;Janney Montgomery Scott;Janney Montgomery Scott;0.5; 
2025-06-10 11:29:21.4042 INFO 1024502239-01;Janney Montgomery Scott;Janney Montgomery Scott;0.5; 
2025-06-10 11:29:22.0345 INFO 1024505130-03;Immigration and Customs Enforcement;U.S. Immigration & Customs Enforcement;0.9;high 
2025-06-10 11:29:23.2552 INFO 7030493862-01;City of Newton;City of Newton Falls;0.5; 
2025-06-10 11:29:23.2552 INFO 7030493862-01;City of Newton;City of Newton, Iowa;0.5; 
2025-06-10 11:29:23.2552 INFO 7030493862-01;City of Newton;City of New Town;0.5; 
2025-06-10 11:29:23.2552 INFO 7030493862-01;City of Newton;City Of Newton;0.0;unsupported 
2025-06-10 11:29:24.7540 INFO 1010505421-01;Excel Mechanical;Excel Mechanical;0.5; 
2025-06-10 11:29:24.7540 INFO 1010505421-01;Excel Mechanical;Excel Mechanical;0.5; 
2025-06-10 11:29:24.7540 INFO 1010505421-01;Excel Mechanical;Excel Mechanical Systems;0.5; 
2025-06-10 11:29:24.7540 INFO 1010505421-01;Excel Mechanical;Excel Mechanical Services;0.5; 
2025-06-10 11:29:24.7540 INFO 1010505421-01;Excel Mechanical;Excel Mechanical;0.5; 
2025-06-10 11:29:24.7540 INFO 1010505421-01;Excel Mechanical;Excel Mechanical;0.5; 
2025-06-10 11:29:25.4174 INFO 7010488294-02;Boston Medical Center;Boston Medical Center;0.9;high 
2025-06-10 11:29:26.2609 INFO 1081500993-01;LINK Strategic Partners;LINK Strategic Partners;0.5; 
2025-06-10 11:29:26.9515 INFO 5012504558-04;Remote Technology Services;Remote Technology Services;0.9;high 
2025-06-10 11:29:27.5239 INFO 5012504558-03;Remote Technology Services;Remote Technology Services;0.9;high 
2025-06-10 11:29:27.9366 INFO 5012498276-03;Summit Church;Summit Church;0.5; 
2025-06-10 11:29:27.9366 INFO 5012498276-03;Summit Church;Summit Church Kernersville, NC;0.5; 
2025-06-10 11:29:27.9366 INFO 5012498276-03;Summit Church;Summit Church;0.5; 
2025-06-10 11:29:27.9366 INFO 5012498276-03;Summit Church;Summit Church;0.5; 
2025-06-10 11:29:27.9426 INFO 5012498276-03;Summit Church;Summit Church of Christ;0.5; 
2025-06-10 11:29:27.9426 INFO 5012498276-03;Summit Church;Summit Church of Castle Rock;0.5; 
2025-06-10 11:29:27.9426 INFO 5012498276-03;Summit Church;Summit Church;0.5; 
2025-06-10 11:29:27.9426 INFO 5012498276-03;Summit Church;Summit Church West Olive;0.5; 
2025-06-10 11:29:27.9426 INFO 5012498276-03;Summit Church;Summit Church of Homestead;0.5; 
2025-06-10 11:29:27.9426 INFO 5012498276-03;Summit Church;Summit Church;0.5; 
2025-06-10 11:29:28.5330 INFO 4022500170-02;Arc 3 Gases;Arc3 Gases;0.5; 
2025-06-10 11:29:29.1303 INFO 1050500813-04;Brandenburg Electric;Brandenburg Electric;0.5; 
2025-06-10 11:29:29.7103 INFO 1024503899-07;Peraton;Peraton;0.9;high 
2025-06-10 11:29:29.7103 INFO 1024503899-07;Peraton;Priton;0.5; 
2025-06-10 11:29:29.7103 INFO 1024503899-07;Peraton;Proton;0.5; 
2025-06-10 11:29:29.7103 INFO 1024503899-07;Peraton;Proton;0.5; 
2025-06-10 11:29:30.3348 INFO 1024497847-02;Lumina Solar Inc;Lumina Solar;0.5; 
2025-06-10 11:29:30.7016 INFO 1012489724-02;MVA;Move;0.5; 
2025-06-10 11:29:30.7016 INFO 1012489724-02;MVA;Moore & Van Allen;0.5; 
2025-06-10 11:29:30.7016 INFO 1012489724-02;MVA;Mgh;0.5; 
2025-06-10 11:29:30.7076 INFO 1012489724-02;MVA;Maryland Motor Vehicle Administration;0.5; 
2025-06-10 11:29:30.7076 INFO 1012489724-02;MVA;Miva;0.5; 
2025-06-10 11:29:30.7076 INFO 1012489724-02;MVA;M&F;0.5; 
2025-06-10 11:29:30.7076 INFO 1012489724-02;MVA;MEV;0.5; 
2025-06-10 11:29:30.7076 INFO 1012489724-02;MVA;MFE;0.5; 
2025-06-10 11:29:30.7076 INFO 1012489724-02;MVA;MVAP Medical Supplies;0.5; 
2025-06-10 11:29:30.7076 INFO 1012489724-02;MVA;MHF;0.5; 
2025-06-10 11:29:31.3797 INFO 1010503068-02;University of Maryland St. Joseph's Medical Center;University of Maryland St. Joseph Medical Center;0.5; 
2025-06-10 11:29:31.9583 INFO 1010497180-06;Department of State;Department of State;0.9;high 
2025-06-10 11:29:32.8163 INFO 1009488532-04;Government of the District of Columbia;District of Columbia;0.9;high 
2025-06-10 11:29:32.8183 INFO 1009488532-04;Government of the District of Columbia;Metropolitan Police Department of the District of Columbia;0.9;high 
2025-06-10 11:29:33.2562 INFO 1008502145-03;Montgomery County;Montgomery County Public Schools;0.0;unsupported 
2025-06-10 11:29:33.2562 INFO 1008502145-03;Montgomery County;Montgomery County Government;0.0;unsupported 
2025-06-10 11:29:33.2562 INFO 1008502145-03;Montgomery County;Montgomery County Community College;0.5; 
2025-06-10 11:29:33.2562 INFO 1008502145-03;Montgomery County;Montgomery County, PA;0.5; 
2025-06-10 11:29:33.2562 INFO 1008502145-03;Montgomery County;The Arc New York;0.5; 
2025-06-10 11:29:33.2562 INFO 1008502145-03;Montgomery County;Montgomery County School District;0.5; 
2025-06-10 11:29:33.2562 INFO 1008502145-03;Montgomery County;Montgomery County Intermediate Unit;0.5; 
2025-06-10 11:29:33.2562 INFO 1008502145-03;Montgomery County;Montgomery County Revenue Authority;0.5; 
2025-06-10 11:29:33.2562 INFO 1008502145-03;Montgomery County;Montgomery County Schools, NC;0.5; 
2025-06-10 11:29:33.2704 INFO 1008502145-03;Montgomery County;Montgomery County Board of Education;0.5; 
2025-06-10 11:29:33.2704 INFO 1008502145-03;Montgomery County;Montgomery County Animal Resource Center;0.5; 
2025-06-10 11:29:33.9068 INFO 1008438377-02;Northrop Grumman;Northrop Grumman;0.0;unsupported 
2025-06-10 11:29:33.9068 INFO 1008438377-02;Northrop Grumman;Northrop Grumman Federal Credit Union;0.5; 
2025-06-10 11:29:34.2504 INFO 1009480214-01;Tek Systems;TEKsystems;0.9;high 
2025-06-10 11:29:34.2504 INFO 1009480214-01;Tek Systems;TEC Systems;0.5; 
2025-06-10 11:29:34.2504 INFO 1009480214-01;Tek Systems;T/Q Systems;0.5; 
2025-06-10 11:29:34.2553 INFO 1009480214-01;Tek Systems;DK Systems;0.5; 
2025-06-10 11:29:34.2553 INFO 1009480214-01;Tek Systems;T K Systems;0.5; 
2025-06-10 11:29:34.2553 INFO 1009480214-01;Tek Systems;Deck Systems;0.5; 
2025-06-10 11:29:34.2553 INFO 1009480214-01;Tek Systems;D K Systems;0.5; 
2025-06-10 11:29:34.2553 INFO 1009480214-01;Tek Systems;DK Systems;0.5; 
2025-06-10 11:29:34.2553 INFO 1009480214-01;Tek Systems;Hytek Systems;0.5; 
2025-06-10 11:29:34.2553 INFO 1009480214-01;Tek Systems;Tgw Systems;0.5; 
2025-06-10 11:29:35.1059 INFO 1012503415-02;Beth El Congregation;Beth El Congregation;0.5; 
2025-06-10 11:29:35.1059 INFO 1012503415-02;Beth El Congregation;Beth El Congregation;0.5; 
2025-06-10 11:29:35.1059 INFO 1012503415-02;Beth El Congregation;Beth El Congregation;0.5; 
2025-06-10 11:29:35.1059 INFO 1012503415-02;Beth El Congregation;Beth El Congregation;0.5; 
2025-06-10 11:29:35.1059 INFO 1012503415-02;Beth El Congregation;Beth El Congregation;0.5; 
2025-06-10 11:29:35.1142 INFO 1012503415-02;Beth El Congregation;Beth El Congregation;0.5; 
2025-06-10 11:29:35.6961 INFO 1009505242-01;MacKenzie Management;MacKenzie Management;0.5; 
2025-06-10 11:29:36.2732 INFO 1024505326-04;Northrop Grumman;Northrop Grumman;0.0;unsupported 
2025-06-10 11:29:36.2732 INFO 1024505326-04;Northrop Grumman;Northrop Grumman Federal Credit Union;0.5; 
2025-06-10 11:29:36.9816 INFO 1083505370-02;W.M.Schlosser Co Inc;W. M. Schlosser;0.5; 
2025-06-10 11:29:37.5168 INFO 1083505370-01;W.M.Schlosser Co inc;W. M. Schlosser;0.5; 
2025-06-10 11:29:38.6788 INFO 1024504691-02;Johns Hopkins University;Johns Hopkins University;0.0;unsupported 
2025-06-10 11:29:38.6788 INFO 1024504691-02;Johns Hopkins University;Johns Hopkins Medicine;0.0;unsupported 
2025-06-10 11:29:39.2309 INFO 1024502398-04;Prince George's County Government;Prince George's County;0.0;unsupported 
2025-06-10 11:29:39.7657 INFO 1024500843-04;Johns Hopkins University;Johns Hopkins University;0.0;unsupported 
2025-06-10 11:29:39.7657 INFO 1024500843-04;Johns Hopkins University;Johns Hopkins Medicine;0.0;unsupported 
2025-06-10 11:29:40.3363 INFO 1024502398-03;Prince George's County Government;Prince George's County;0.0;unsupported 
2025-06-10 11:29:40.8924 INFO 1024500843-03;Johns Hopkins University;Johns Hopkins University;0.0;unsupported 
2025-06-10 11:29:40.8954 INFO 1024500843-03;Johns Hopkins University;Johns Hopkins Medicine;0.0;unsupported 
2025-06-10 11:29:41.5143 INFO 1024504691-01;Johns Hopkins University;Johns Hopkins University;0.0;unsupported 
2025-06-10 11:29:41.5143 INFO 1024504691-01;Johns Hopkins University;Johns Hopkins Medicine;0.0;unsupported 
2025-06-10 11:29:42.4193 INFO 4015500758-08;Palantir Technologies Inc.;Palantir Technologies;0.9;high 
2025-06-10 11:29:43.2435 INFO 1055503540-02;Fresenius Medical Care;Fresenius Medical Care;0.9;high 
2025-06-10 11:29:43.9092 INFO 1050499484-02;State of MD;State of Maryland;0.9;high 
2025-06-10 11:29:43.9112 INFO 1050499484-02;State of MD;State of Maryland;0.9;high 
2025-06-10 11:29:44.5947 INFO 1030502270-04;Divine Mercy Academy;Divine Mercy Academy;0.5; 
2025-06-10 11:29:45.7447 INFO 1024501060-02;Walmart;Walmart;0.9;high 
2025-06-10 11:29:46.2158 INFO 1024499553-05;Progressive;Progressive (Corporate);0.0;unsupported 
2025-06-10 11:29:46.2158 INFO 1024499553-05;Progressive;Progressive (Independent);0.0;unsupported 
2025-06-10 11:29:46.2158 INFO 1024499553-05;Progressive;Progressive Leasing;0.3;low 
2025-06-10 11:29:46.2238 INFO 1024499553-05;Progressive;Progressive Environmental Services;0.5; 
2025-06-10 11:29:46.2238 INFO 1024499553-05;Progressive;Progressive Services;0.5; 
2025-06-10 11:29:46.2238 INFO 1024499553-05;Progressive;American Future Systems;0.5; 
2025-06-10 11:29:46.2238 INFO 1024499553-05;Progressive;Progressive Architecture Engineering Planning;0.5; 
2025-06-10 11:29:46.2238 INFO 1024499553-05;Progressive;Progressive Bancorp;0.5; 
2025-06-10 11:29:46.2238 INFO 1024499553-05;Progressive;Progressive Impressions International;0.5; 
2025-06-10 11:29:46.2238 INFO 1024499553-05;Progressive;Progressive Housing;0.5; 
2025-06-10 11:29:46.2398 INFO 1024499553-05;Progressive;Progressive Change Campaign Committee;0.5; 
2025-06-10 11:29:46.8794 INFO 1010504034-03;Smithsonian Institution;Smithsonian Institution;0.9;high 
2025-06-10 11:29:47.5767 INFO 1009504498-02;Baltimore City Public Schools;Baltimore City Public Schools;0.0;unsupported 
2025-06-10 11:29:47.5767 INFO 1009504498-02;Baltimore City Public Schools;Baltimore County Public Schools;0.0;unsupported 
2025-06-10 11:29:48.2507 INFO 1010503622-01;Marine Corps;U.S. Marine Corps;0.9;high 
2025-06-10 11:29:48.2507 INFO 1010503622-01;Marine Corps;Marine Corps Community Services;0.0;unsupported 
2025-06-10 11:29:48.2547 INFO 1010503622-01;Marine Corps;U.S. Marine Corps;0.9;high 
2025-06-10 11:29:49.4216 INFO 1024504055-01;Howard Community College;Howard Community College;0.5; 
2025-06-10 11:29:50.4935 INFO 1024502694-02;Baltimore City Public Schools;Baltimore City Public Schools;0.0;unsupported 
2025-06-10 11:29:50.4935 INFO 1024502694-02;Baltimore City Public Schools;Baltimore County Public Schools;0.0;unsupported 
2025-06-10 11:29:51.0034 INFO 1024502694-01;Johns Hopkins University;Johns Hopkins University;0.0;unsupported 
